gene_id	gene_short_name	GS-1_FPKM	GS-2_FPKM	GS-3_FPKM	CK-1_FPKM	CK-2_FPKM	CK-3_FPKM	M-1_FPKM	M-2_FPKM	M-3_FPKM	GS-1_count	GS-2_count	GS-3_count	CK-1_count	CK-2_count	CK-3_count	M-1_count	M-2_count	M-3_count
67026	Thap4	6.91887	7.16064	7.19127	8.41107	8.11116	7.73347	7.18277	7.3023	7.27125	398.007	412.39	416.123	493.947	471.272	453.231	425.047	427.94	435.914
381650	Thap6	1.40065	1.44983	1.92154	1.41044	1.37457	1.4867	1.62826	1.23014	1.40533	159.394	166.943	209.892	157.207	161.395	166.036	174.536	136.744	152.21
69009	Thap7	10.3064	9.64684	8.56884	10.2978	11.8045	9.8885	9.2562	9.72783	10.7533	265.338	248.428	228.196	268.834	301.577	256.906	250.511	253.812	286.406
21824	Thbd	296.882	292.148	301.737	307.365	160.126	333.247	296.066	271.866	232.387	27422.4	27109.4	27221.3	28330.8	15006	30823.1	26766.7	24902.1	20954.5
21825	Thbs1	35.0377	69.7175	61.4533	46.9477	148.251	28.977	25.3876	30.4012	31.7316	6376.7	12671.8	11203.6	8504.08	27112.4	5235.72	4613.92	5514.03	5720.92
21826	Thbs2	1.90103	2.10409	2.50691	1.65928	1.03358	2.11541	1.917	2.35781	3.54658	353.148	389.535	457.613	306.043	193.673	392.651	349.073	435.81	643.063
21827	Thbs3	24.8525	22.1931	19.4901	23.0094	16.315	24.3061	24.1329	24.4239	24.7474	2404.27	2113.62	1867.06	2221.37	1553.08	2362.64	2363.43	2360.06	2389.42
21828	Thbs4	0.206958	0.0197766	0.024295	0.00917205	0.0817432	0.0439973	0.0201999	0.0870698	0.397893	20.998	1.98742	2.4406	0.930221	8.30029	4.48744	2.05337	8.85392	40.5292
75778	Them4	3.12469	3.71247	3.93254	3.71855	2.9393	3.50834	4.21863	3.47124	3.9126	163.211	197.748	197.689	189.765	158.628	180.619	208.417	179.046	194.54
66198	Them5	0.0552399	0.0866486	0.106165	0.0273183	0.105943	0.13079	0.0894625	0.0856641	0.105167	1.90891	2.98113	3.66091	0.930221	3.68902	4.48744	3.08005	2.95131	3.6026
223626	Them6	4.64663	4.51662	4.87414	4.68976	4.49525	4.96908	5.52682	4.83815	3.95442	129.806	125.208	134.233	132.091	124.504	139.111	157.083	135.76	111.68
